花花Haya	269415357	318637
琉绮Ruki	420249427	313894
可愛的島風	14248896	311515
木糖纯Official	54191665	306207
鹿子kanoco	26541399	302548
夏诺雅_shanoa	1612112	300688
葛叶Official	434563422	300094
雪狐桑	477792	295845
叶Official	434563934	293928
七濑Unia	353361863	282915
田中姬铃木雏Official	296909317	281120
乙女音Official	406805563	278219
v猫诺v	70070	272272
步玎Pudding	416622817	263657
钉宫妮妮Ninico	8881297	263334
本间向日葵Official	403928672	262885
笹木咲Official	436596839	249165
彼岸霜滢Eliro	21374533	248464
兮子cc	194326389	247240
黑泽诺亚NOIR	922573	246747
琴吹夢_official	442426299	246527
勺Shaun	666726801	244439
夢乃栞Yumeno_Shiori	372984197	242217
小虾鱼Official	358695457	240691
加加゛	1506609	239495
QQ星	626369036	235125
星奈铃-官方WACTOR	1089059487	228509
夏川玥玥Official	1802011210	215613
叫我默默酱	308688486	215193
ShizukouOfficial	1042854135	211424
早见咲Saki	541696090	211107
罗伊_Roi	480745939	209622
天曰小雏Official	2007781080	209155
小小约yoo	1359949418	208709
❀Sakulaˇ小舞	264161	208304
白雪深白Official	405981431	208085
切茜娅CheIsea	632960	205145
時雨羽衣Official	2601367	204975
穆小泠Official	43272050	203099
東雪蓮Official	1437582453	202902
V子Official	670241936	201851
九重紫Official	225347042	201527
一支橘猫	4365978	200898
心斎桥オクトOfficial	17492464	199016
超想吃番茄	7086255	198357
艾因Eine	421267475	196798
杜松子_Gin	471460273	192499
安晴Ankii	44903085	190396
茶冷_Channel	741520	189753
胡桃Usa	12497617	187966
美波七海-official	692283831	187312
不举萌栗	3570093	187097
红晓音Akane	899804	186872
綾奈奈奈	186463	186781
高原守Channel	503302	186510
希亚娜Ciyana	1926156228	185057
铃音_Official	39267739	185031
猫芒ベル_Official	487550002	184741
ywwuyi	1472906636	183707
星瞳_Official	401315430	182970
兰音Reine	698029620	181492
莉泽Official	436596841	181382
古守血遊official	2299184	176823
蜜汁工坊	80505	176267
阳向心美Official	492862	175248
凛-阿格里亚斯	2650919	174592
古堡龙姬	686201061	171852
白雪艾莉娅_Official	1096223397	170929
扇宝	698438232	170872
鹰宫莉音Official	436596840	170664
子花酱Hanako	75937648	169974
雨街F	118754720	169191
鈴宮鈴	480432362	166272
筱魈Syou	4690327	165234
星弥Hoshimi	477342747	162143
蕾蕾大表哥	867152	160882
静凛Official	403921378	160791
见风kaze	12070947	160669
物理魔法使哈娜酱	3009298	159523
彩虹酱哇	15076745	159031
池年	2341174	156666
鹿野灸	5659864	155731
椎名唯华Official	403927583	153918
龙胆尊Official	434564604	152680
佩内洛珀-克莱因Official	491979247	151802
雪绘Yukie	56748733	151318
尼奈nine_Official	163653	150395
椎名菜羽Official	623441612	150240
妙妙子Official	674539396	148385
小东人魚Official	441382432	147511
梭梭树	8163245	144677
眞白花音_Official	401480763	138482
魔王酱Maou_	163917943	137917
Kanna_康娜Official	345819190	135230
未来明-MiraiAkari	238537745	135012
米白zzz	5005968	133945
修女克蕾雅Official	477780496	133371
早凉	518817	133218
乌拉の帝国Official	610390	132966
小恶魔channel	6483727	131761
孙有劲Sunyeojin	1869304	131519
小柔Channel	1734978373	128687
折原露露	631070414	127928
JohnkoOfficial	634902212	127885
紗耶_sayako	385281102	125019
混沌之神-最终虚妄	85816940	124375
安洁Official	458154143	124204
米哦Official	1352646	122973
まこと-macoto官方	472135480	122829
文静_千鸟Official	667526012	122476
烛灵儿Hikari	399815233	121731
yakko暗影	175056	121510
千草はな	8119834	120990
赫卡Tia	693	120229
白百合リリィOfficial	421347849	120109
塔克Tako	9066351	118602
樋口枫Official	410455162	117136
猫雷NyaRu_Official	697091119	116834
小伞一把Kokasa	1740548	115867
绿仙Official	403930401	115685
戌亥床Official	458154142	115281
凤玲天天Official	623441609	115054
希月萌奈	591892279	114342
三日暦Official	571841213	113681
诺拉Nora_Heitis	650663945	112849
里奈Rina	7591465	110922
adogsama	317000	110534
勾檀Mayumi	690608693	109105
东爱璃Lovely	3821157	108816
田汐汐_Official	473764233	108684
喵田弥夜Miya	846180	107368
科尔Channel	521950190	106346
Zoe_舟一	688275304	105613
vivian198808	1433840	105198
蕾米Remi	690608687	104305
秋凛子Rinco	479633069	104091
莉姬LIJI	387108043	103647
喵奈Official	1836495	103458
花留Karu	370687588	102969
郡道美玲Official	458154139	102623
奶茶姬	130209	102554
窥酱Channel	370515	101948
星川莎拉_Official	666726796	101448
西园千草的喵面鱼塘	237428079	100170
安堂いなり_official	392505232	99842
温之九Dolores	58485079	98973
花满Official	690804827	96451
陆婉莹GodRiku	337827661	96434
森永みうofficial	2778044	96207
苺病くすりOfficial	521287997	95678
朵一酱Duoyi	628941292	95641
鳥取鹿子Official	946324	95592
天气阿准official	490981706	95567
昙露流月Channel	297340	95515
家长麦Official	436596837	94419
帅比笙歌超可爱OvO	15641218	93858
织月黛黛	28278764	93313
弥希Miki	477317922	93255
dodo_Official	1855519979	93137
幽乜Yume	1164975438	93069
佐仓•M•沙耶加	72960	92679
玉白_official	1062342323	92012
召唤师yami	487902	91895
蜜球兔	1750561	91703
千春_Chiharu	558070433	90763
Kiroko96	600985	90610
魔宫永恋Mamiya	1785908279	89600
神奈希_Official	157330863	88762
星汐Seki	51030552	88119
山崎薰薰	214854	87161
稻荷月いなり	2373019	86371
轴伊Joi_Channel	61639371	86294
电脑少女siro_小白	391876799	86241
白桃Shirako	1516482	85995
巫沐Umo	1322881625	85038
默磷Mayori	820535	84280
茉里Mari	690608686	83834
犬山奈奈Channel	14350494	82468
早濑弥生Official	436693674	81014
鹤祁_Tsuruki	2878144	80215
内德维德	90873	80031
溯月Sotsuki	258875006	79947
火羽ひのめ	2094031249	79308
-Yu酱-	3032688	78627
画外灯official	698168210	78314
姬熊结璃Official	482515509	77675
冬雪沫沫	12945093	77656
中单光一	434401868	76946
小铃久绘Official	1875094289	76400
爱宫Milk_Official	419429042	76180
罗菈Rola	2052064438	76106
奈奈莉娅Channel	489146840	76079
艾露露Ailurus	1501380958	75539
丝茉茉i	27564630	75179
申䒕雅_小雅Official	2138676495	74720
天宫心Official	690608699	74312
贝尔蒙德Official	441666967	74136
香取绮罗_kira	574317507	74133
艾尔莎_Channel	1521415	74035
南宫灯official	1359996	73977
宇佐紀ノノ_usagi	313248263	73977
社筑Official	458154141	73801
龙西Rinya	513273343	73626
永恒娘Official	1377212676	73623
可儿！	481169	73595
しらたまOfficial	1296113267	73546
永远永远酱w	135980509	73263
无前Namae	29080	71488
绫濑光Official	6747203	71321
羽澄照乌愈Official	1861416807	71300
铃鹿诗子Official	458154144	71033
北柚香Yuka	480248442	70985
雨宫水希Channel	744713	70957
库拉里罗滋-官方WACTOR	1994541396	70951
诺莺Nox	529249	70867
满月Channel	147983220	70481
幽灵子辰Channel	4763529	70118
如月こより_Official	524194761	69459
love-channel	580482351	69190
白雪巴_Official	666726797	68926
雪虎Black	16907771	68642
果汁erR	25032753	68421
神狐かな_Official	515419672	68343
飞鸟尤卡里Official	1828506816	68299
紫桃爱音Official	442902274	67021
Seikyuu-VA	877437	66826
露珀塔_Ruperta	2100944625	66657
木子喵neko	27735697	66564
德比鲁Official	441666968	66319
日月咪玉-官方	391614061	65924
悠亚Yua	666726799	65510
江惠惠Official	422501642	65482
爱摸鱼的Moy	585578	65295
五月织姬ctsu	441952268	65165
犬卷日鞠-官方WACTOR	1386545245	65135
福山Master	1369335586	65123
碧居結衣	1910896691	64889
御剣莉亚-官方	517746113	64851
兰若_Ruo	320740464	64845
dsailab二号机	11203281	64789
莉姆丝OvO	664047468	64581
AIofficial	430774867	64508
S1娘Official	97340936	64434
NoWorld_思绪イデア	415481887	64331
黑桐亚里亚Official	4911722	63985
坏宝Huaib	1998929	63958
玛莎儿今天摸了吗	595313593	63862
綿世たぬOfficial	652203744	63360
眠眠official	1780255602	63189
吉诺儿kino	1383815813	63079
臧贺Lunmta	36397742	62495
诗小雅Official	36576761	62458
羽咲Rabi_Official	396316042	61563
童田明治Official	458154140	61523
龙包包	1420223	61036
PlanyaChannel	562037265	60492
井野川歌铃	692611676	59919
加贺美隼人Official	666726795	59834
银银子deisu	4832930	59645
相羽初叶_Official	586880202	59152
小毛拔了个火罐	4071581	58758
派大露が	43403127	58059
Kirikosama_	1442771	57998
烤鱼子Official	592507317	57963
姉崎雪美Official	1160110127	57111
说说Crystal	283886865	57053
瑠璃川こはくofficial	12823143	56981
唐九夏还想再躺一下	1219196749	56919
蝶太	1697694	56803
林莉奈RinaHayashi	1243266187	56397
季毅Jiyi	359081808	56345
火花工作室	170654598	56180
沙月ちゃん	128912828	56118
卖火柴的可可亚	719049	56103
三千宫魔王Miya	244069	55803
一点荧惑	23155481	55373
小司无常	8760033	55346
粉黛乱子Capillaris	1780645	55144
茉莉奶芙Molly	8491226	54981
惑姬Waku	472877684	54832
鸢尾牙牙	292838396	54779
AyamyあやみOfficial	521070071	54732
Laine_official	668479385	53725
竹花诺特Official	612560157	53542
雪橙姬	2472951	53451
笔笔_BiBiko	472712134	53247
星-冰河	39660085	53083
纱世_sayo	472848826	53059
白雪巴的夜王国	484764631	52879
小禾mohu	2111566071	52811
骨魅むくろOfficial	1344579539	52771
小千村柚柚	2138602891	52675
Alec艾里	32906095	52626
清良Kiyora	558070436	52605
Tadasuto	1996131	52457
伊莎贝拉Official	666726803	52448
沙夜_Saya	490331391	52272
金克茜Jinxy	628292885	52260
花玲Karin	474593909	52237
铃木胜Official	586880205	51688
伊月猫凛	10030059	51361
晴奈子_Senako	1217962385	51306
立花结那official	524303239	51292
尼奥喵Neil_Channel	12120515	51070
纸木铗Official	1827106	50563
尤狸Yuriri	230927369	50334
辻蓝佳音瑠_channel	2123631024	50110
黎歌Neeko_channel	671538942	50000
珞璃Official	1816182565	49853
初焰Hatsuhomura	431473020	49760
漪月灵-Aether-	1825301994	49695
月兮Channel	606293627	49261
度人Tabibito	474369808	49215
千幽Chiyuu	690608691	48908
咕咕挞Official	3724949	48906
極彩夜うい_official	436749840	48637
佐娜Sanya	523922454	48513
咲间妮娜Official	573930836	48470
不能吃的ok酱	1764912	48427
火西肆	1401928	48171
月兔华-WACTOR官方	486618657	48140
满天星Hoshi	4242014	48140
许亦真_REAL	1553780731	47836
多拉Official	595407555	47812
戈洛Glow	47868246	47648
真绯瑠mahiru	477306079	47617
雪桃子Official	451793	47394
瑞狩是只喵	8381620	47175
耳可Milo	34423885	46335
EricaZehnt_埃莉卡	1480838	46311
猫猫Official	497430637	45933
污喵污喵哒	8041302	45862
天宫心的新人搬运	488976342	45782
言知_Dove	35478071	45757
黛灰Official	628292887	45746
星野琳奈	9736638	45618
木暮Piyoko-官方	486618658	45556
花守海露希Official	476542825	45254
梦追翔Official	511613154	45196
辛西娅_Cynthiaa	15225468	45052
nelineli音乐	439071630	45043
白音雪-official	612524985	44640
望月希咏	286113280	44496
西魔幽Yuu	476725595	44335
姬咲柚流Official	493724848	44327
莉莉安_Official	661461705	43964
病院坂Rei	1041474702	43943
咪诺今天也要元气满满	49142760	43756
奥克塔维娅Channel	403880852	43436
柠狐柃	19462294	43388
米蕾優channel	476676325	42974
白银莉莉Official	494850406	42385
呆呆喵	368097	42383
御坂伊里奇_Official	6514909	42299
紫海由爱Channel	525105971	42255
信使akane	738406	42119
魔法少女真理酱	526071118	41954
纸代棗-やすゆきOfficial	480179246	41927
塔尔斯Tails	7410885	41706
星陵Betty	323774877	41660
空镜KAGAMI	385016070	41458
最喜欢派蒙了	2960092	41329
猫屋敷梨梨Official	26087398	40977
团小哈	686241472	40689
卡欧斯_Chaos	628292881	40532
一颗芽Official	517060084	40462
空伶cherry	3084780	40250
嚼着软糖想昵称	230487728	40165
AI艾灵	510100897	40100
东堂比乃Official	1220621189	40047
阿尔瓦Alvar	6118206	39921
姬野青	2240157	39731
桃井最中Monaka	692437895	39638
梱枝莉子Official	519186734	39595
SoulliesOfficial	418116005	39473
库莉姆Cream	1555453291	39439
kinoko杂菌	351007	39312
七个喵Nana	503026492	39246
亚可Ako	601481495	39232
绮良kira_Official	482911295	39106
喵月nyatsuki	472821519	38892
舞元启介Official	477780497	38815
咿籽芥末大尾巴狼itsu	10880609	38754
恋诗夜Koxia	690608690	38724
这是亦枝YY	147471	38502
白濑葵_propro	1508519945	38310
云玉鸾	8170242	38183
呆梓爱你嗷	1598199	38093
OscarAnd奥斯卡	10296177	37960
雷凌凌	290474	37836
東雲恵Official	308751411	37762
花云凛_propro	1340967709	37287
田野柴Tanoshiba	690608706	36948
赤星组Channel	444559	36940
栗子酱RIKO	535102427	36856
郡道美玲的养豚厂	16706112	36811
璃月青空	3051369	36781
Okome_VTuber官方频道	345648420	36676
岱川Doris	1643484295	36570
墨喵星突突母舰Official	845921	36510
柊真华Official	13908542	36496
星川铃_Official	503622929	36450
贵物Live	271887040	36293
dsailab	411812743	36198
九十九_Tsukumo	690608702	35936
_慕斯Muse	474593911	35874
星乃めあOfficial	5730	35837
桃宝Momoko	505183397	35816
露露娜Ruruna	558070434	35673
路理Kuri	646432928	35663
量子少年-慕宇	1230039261	35526
天川花乃official	482515510	35504
有加plus	472845978	35461
夕兔_H2	2128310	35460
龙崎Ryuz4k1	308459	35083
立花遥はるか	1617739681	35032
洛佩sama	433307	35011
罗兹Blazing	1315573139	34847
灰音Haine	440772821	34812
蛙吹Keroro	613345189	34747
ninnikuu	11431931	34542
蝶蝶狐_Chouko	744031	34443
夏卜卜	2049968320	34404
是水良不是奶良_Official	550611	34391
咦我的头发呢	17511965	34304
DJGun	2088874781	34228
蝉堇	8531826	34156
万灼	1121411561	34107
佳茵是个小富婆	266874228	33758
虎丸幼一	205083578	33709
雾深Girimi	1484169431	33518
Milky_Vtuber	410741448	33496
堕天稚悠爱Official	411913934	33265
安心愛	37786223	33236
雷岁_Raisai	602724685	33230
